company_name,company_star_rating,role_title,role_location,industry,company_type,listing_desc,listing_url,page_url,page_num
Metrica Recruitment,NA,Data Scientist - Consultancy,"London, England",Company - Private,Business Consulting,"A strong basic salary with excellent benefits Collaboration with high-end and blue-chip clients, within a variety of sectors You will be based in their central London location, with national and global travel opportunities Working within a well-established data science team, almost 200 consultants The opportunity to work with cutting-edge software and programs A numerical degree with a minimum 2:1 grade or equivalent from a reputable university Over 18 months years of experience in operational research, customer analytics, BI analytics, data science Excellent experience with Excel and SQL. Highly advantageous to have used Python or R as well as cloud computing platforms and big data tools A commercially insightful and results-driven nature An excellent level of consulting communication skills",www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&cs=1_2e9d0076&cb=1669291331372&jobListingId=1006310577562&cpc=F4EED0218A761C36&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-5c44dc42c5045ff5--6NYlbfkN0B4I0z8Vg4C22bXJk453pUE2nnLCUOyY_R-ihB16RDW65dAXO9w17QY8SOm2HP94Ho_J8SfQpmXKygStb0jsrfYGZjBNNlicpdrpOQ6XUYjSynsZTm32YcWT2eJf3L9jdq7bjgW4W8ne6eOAirikAGSd84198GLOGxvxHs16A3PVG7SPtURXShsV3UO5MMf_Fgi3k0lYojF06X8ptAe81AwxtjIIQc6RiyG41NyHmt3thrW28j6Jx5da6YVwbUZ_xAVTV3dDnhtDaGhrJnun4ozzwCPAl5wm4y6H9bDnsHNNisinJDRLbN0jxppRaP5V1B1Npj41Lv38B53z2NwPVCdHd_Lo4kQ9deat0dGM6Iw_KyOrqPktmePq96w27Pwd5hwrnstXhjruqT3cqk9eGQIqdLyGzqIBKerHwAQm_NGjuh182nnobJBGf5CTAv0QowPkbyJZ7u7DKIy8h82McLwdYQMuLb05HVWcjZTEkOtzOnR5rg2_NyTlbax6EzEqRr2wZUBAuRI0Vb3n2wpCvTN59I2DcYgO4brsM0W9RHMt373yjomDyenhYWd8Qdl1lc3xBl2pmE_mUphTo4nqzdo6rcO4mzxYdZh_fAoZp9ZQA%3D%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Marks & Spencer,3.7,Data Science Internship 2023,"London, England",Company - Public (MAKSY),"Department, Clothing & Shoe Stores","Want to build yourself a legacy you’ll always be proud of? This internship in Data Science yet is your chance to do just that. Intentionally designed to help you shape the fast-moving world of retail, it’s a masterclass in technical training, structured mentorship, and 360-feedback. During your 10 week internship, you will work as a Data Scientist asking and answering the questions that will inform our actions!
Take your place in our Data Science teams and you’ll find everything you need to begin shaping the world of retail – your way. From access to in-house development programmes to external Decoded Data Science courses that’ll help you become an expert in your field, this is a springboard on to big things.
Our teams apply data science across the whole business – from solving customer problems like offer personalisation and online recommendation, to enterprise challenges like buying optimisation, sales forecasting, and labour planning. We use a wide variety of the core data science techniques and more to deliver millions of pounds in extra profit to the business every year. Want to be a part of some of the most innovative teams in British retail?
Become an M&S Legend of Tomorrow. Apply today.
Read MoreShow more ",www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&cs=1_6371587d&cb=1669291331372&jobListingId=1008174980367&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-96c994fe2262beb2-,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Zorba Consulting Ltd,NA,Data Analytics Manager,"London, England",NA,NA,"Worked in an analytical role or similar with experience in owning processes and tools to acquire, store and interrogate data across the business. 2:1 and above degree educated Strong knowledge of SQL and its core principles Good knowledge of Python Experience with an analytics platform like Looker, PowerBI, Spotfire or Tableau and the ability to learn new tools. Ability to perform analysis with datasets in a cloud-based data processing environment e.g., BigQuery. Excellent stakeholder skills – able to understand data needs and build solutions with them Statistical modelling understanding preferred. Casual dress Company events Company pension Employee discount Work from home Monday to Friday No weekends Bonus scheme London: reliably commute or plan to relocate before starting work (required) Bachelor's (required) Data analytics: 3 years (preferred) SQL: 3 years (preferred) United Kingdom (required)",www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fd9ab1fa&cb=1669291331372&jobListingId=1008221581651&cpc=6FC5BA77C9A4CD78&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-a57ce7a6c55d8e2f--6NYlbfkN0BjnLHnyIGs6VGzS0HD6qF4YUKiZFYisuiklDof1Y2r487gS2lTDoQXPP6XOx2qPuEDAOAddEpnsq1vEuIBCVaVaowm1hP3p3wH1XsOPEphkK1m8QjwTgRyJnSIuvhe8qpP3iz6CPFdRzm5cNCpps52gagfUleN-Yp4DPwZythEqNml33Iu9PQ9Ho_xVtc76usqTpYELiheSafAvW6FE8T7ZdILhGKFJgjMHFN6m-AsjdLP_zEGg-qA2sw8FUuWi_tm5Q4RmuGjUXngNIEp_Ae07gm4LIQXn1_r5wmYQIBbY2zBagKlifb2JJaej64ECpOJjw9vXQErk5trnd0lLjKtFwgxsVajSeUGvEhYyLbfJymoSBfh3IVlE_7-jt3MZZ4bpqVuUwJlPGnxRE7fEePfn0k3ckGX97r4wUO4V_3aAtCjtXf6jkDcWyChJXOlPyTlRV-C6zfkKe78EUcVDNeMQDNBhQV2MlCHDApRGeaJAE4DqE9XputNN_-8Mrg0NWajiT3xVHf9Zg%3D%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Corriculo,4.5,"Machine Learning, Deep learning, Researcher, 3D, 4381A","London, England",Company - Private,Information Technology Support Services,"
23 days holiday + Bank holidays 
Flexible working 
Excellent training and progression 
Share options 
Solid commercial Python skills 
Proven research experience within Machine Learning or Deep learning with experience of Tensorflow or PyTorch 
A strong understanding of mathematics & statistics 
Experience with Git or similar version control tools",www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a270b742&cb=1669291331372&jobListingId=1008292031452&cpc=6FC5BA77C9A4CD78&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-7dba5fe8376b5e6b--6NYlbfkN0B7rKJkvkRZrQtOvsob64W6XZwJwuM01aqiMgQ7uTfhgGprKeOVBVbGOmeGPZwJ9cjP_v5lj7k8eDlXeEIURAKE5xcqfR2vjlgKMIMciZzCK0IQtOWoPGRL8RoAzgV-UI8UDd-tZbPLB2RoVPHbRqCX5ZIZvbKDHADWqN8LBeAMnkS0kOPegx9weUJAZRvgN7XYd37G_jTD20FoNoVNd-VCPChqEzmzH3SavtGfOkNvpYeUFven4Jttdy7jqmzYRJEKZwc2imXgiRou9gwmZ1Do5n0ROx1CuSQ-NO8zvPlI3w18wIy0K0vhWK4gkz67kxG5DBrTi5DBg661zZUIwc_JD6H9rVXWywMNh8a3c-inMX7KmodXfcvai1inxpgPsy6hXUczIOgCo4rLjxjHYff2TxuezUeAD61lZWJ3LOEsVKdxpb2YcLv7HrE38REU3Y1rMUiNVZnKx7rLwZQpQ7q0a5Mv5wmlwj4NRbYwwldYELBx_g-3EW-l,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Prima Assicurazioni,4.7,Data Scientist (Remote),Remote,Company - Private,Insurance Agencies & Brokerages,"
Design, build and evolve Prima’s proprietary predictive technology, in topics such as: 
Prediction of future claims 
Renewal probability 
Price elasticity of demand 
Portfolio value optimization 
Develop a strong critical spirit and creativity that can act as an engine for Prima's growth 
Learn avidly with the support of experienced colleagues and grow quickly, assuming more responsibilities within the team

 
Excellent academic results - You have a degree in Mathematics, Physics, Statistics, Mathematical Engineering, Physical Engineering or Aerospace Engineering with maximum grades.
 Logical and analytical skills - You quickly master very complex topics, whatever the field. Can you guess and model the mathematical dynamics that guide the phenomena around you and grasp the cause and effect relationships between the forces at play? 
Curiosity and passion - You look critically at the world around you and you always ask yourself ""why?"". You think about how to improve things and fight to make your ideas come true. At Prima we will encourage you to pursue common goals in an original and innovative way, carrying out your ideas and generating value in a proactive way.

 
You have previous work experience in similar roles 
You have international experience and have an excellent English level, oral & written 
You have a solid foundation in inferential statistics, probability and machine learning 
You have a solid foundation in programming and implementation of algorithms 
You can program in Python and know the main data analysis and machine learning libraries (such as Pandas, Numpy, Scipy, XGBoost, Keras, TensorFlow) 
You can create datasets using data extraction languages (such as MySQL or Redshift) 
You can analyze and create models in Excel
  
Company hardware 
Flexi-working 
Free fruit & coffee 
Training budget Test 
HR Interview + 1st Tech interview 
Managerial interview",www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&cs=1_511f23bf&cb=1669291331371&jobListingId=1008286056328&cpc=47CFDC01B3F81FAC&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-98f56239285177af--6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrYiGf0WKIadx8Wo8_zzSZMb5D-SSVZejumt0gHo4w7ua6rhGvabNRWMlmZ33D7h6IlxCVwBv0-AQYaqYjpl180357cnDyNfe2-PUWD9X_Qp7NrD4kN5nb8rTgfzPvotxfvE2TGNmQMWlLk_cJwyDI7i3SrOphs48qJqxlu56gQ_JDlDz5vBLV0IpkekfmjAr-eOvCemI9sJJXbRTkuSo4hR6ym_CI935dNWyYgX2irjUuuOJ7iLtTXWXNP2kTdX1_5UQOb1550-w5jQY5dpYsV8OAFk3BkfrEkg8ga0_R8HnEYrr0phMZlhXHmjUyPVJagE454FqL2iN6wxreoxfeOgtQFdxf8TZCLQUhV0SQVAFj1kRVdAh6C1VHJAq1TDdZaNdeARuu7uiRDBq16ZE5NYnlOA3XJ5s6pEpXi5RCzPNsXfg-sw1ZoUki__W9tu0Niou7-804MmnIBlqI_IHSePzE4jupQueiJwrvFtnhYlaoS5C9J9JzvH30osu9JtGpNf03O3ImER0ZTVPJ45qUhn5S47lVLgN6_3XYzm07IQQJQwsZHKOHRhIGitZZ4R8ikEyse9gpGm22E6fiDMKr0LmuzAbmdx-OS_6UElhWatHRUL1krdKewDoHdMqgtVxxXzcZuOk3rQL_ybfPgXFiDTPv6LowlUhJtGebxoYt_p0yIMcthFXHXU-8O4R0BQgPAX4ZtbfLcQMRtUJ7SkVMsqh422rpwXplAxlmBMPulvL_u3nSWt4ddt0P-5whaPXBUPiQ0gCqhfE64X6OIzzFheYvB5mq1g9QYbMLGXiA9wxsJe9sTEVO6j1iY6LUtMJzH0dw0Fi4JULNftTqUtF562DPgLBO--PvBckJl3ckkC_vmB1nK9HgHxMy4WdbOCtTrmWyZfHvjc2sUTIoozMIJ_gvZrWsfaulBV_egcv6ven5UhzlAzJ9_1x8-RT4HdBj7ZxKhAdWQ4eCfnPPptSzvRepVcUVvYCrNzyoVHzKyu2Lom9_PCMgg9W2IIy8NjSmWpdC4eaUjWIyeVnDoZptmI%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Rolls-Royce,4.0,Data Scientist,"Derby, England",Company - Public (RYCEY),Aerospace & Defense,"
Working with Engineers and Operations to solve problems and optimise processes related to the design and manufacture of our products 
Working closely with a range of subject matter experts, across a diverse range of fields to understand requirements and elicit domain knowledge. 
Applying a range of statistical and machine learning methods for inference, optimisation and prediction 
Communicate your results and methods through reports, presentations or interactive applications. 
Helping to inform “digital strategy” identifying areas for improvement that can be fed back into our wider teams of software development and data engineering to improve our data collection, quality and organisation. 
You will have a numerical background, with degree level education in a subject with strong mathematical or statistical focus. Industrial experience is desirable, though we encourage applications from all backgrounds, including graduates. 
Strong experience in R and/or Python and the associated data science stacks. Implementing methods with an appreciation of software development best practices. Such as working with version control (git), constructing tests and writing documentation. 
You have a delivery driven approach to solving data science problems, opting for the most appropriate solution to addressing the business problem in the required time frame. You will work methodically through modelling workflows to refine as appropriate model complexity. You will place strong emphasis on model interpretability, incorporation of domain expertise and uncertainty quantification. Experience with Bayesian Methods and Probabilistic programming (stan, pymc, etc) is desirable. 
Ideally have experience of operating within the agile framework and the associated tools 
Desirable - experience with developing interactive applications for serving analysis. Either through tools like PowerBI/Tableau or more advanced interfaces such as Shiny, Plotly, etc",www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&cs=1_c73c46af&cb=1669291331372&jobListingId=1008266179716&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-c9d504bfea7ccb1d-,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Oldbaum Services Ltd,NA,Wind Data Engineer / Data Scientist,"Stirling, Scotland",NA,NA,Work from home opportunities Flexible working hours,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0c7fd43e&cb=1669291331370&jobListingId=1008251812850&cpc=3DB599BF2F4828F0&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-006a89399659d8d7--6NYlbfkN0A4WbiRotPfM0XJPJiOh0TZKin2rM1M6KlYDetjgrm6-yxXT74VblkWHobP8Ad9E3u6L_etgxZU9416ogzJkDg2rA2kBuWk96ECjlvRpci6kRMUDEb7R8vS7oP3XSemDCbKhWthL1pnxfnMTiODYWqOWr6Y8EOrRaiCVZ7RtdxcDArySHe-G0RN472d_DW4yiwbaSR1UhIbb3cyQ1ggRBilDj6rTvO9tMmzafJm5ROgv2NlW86euU4K82cBE39cUubHnjlQLYDe99o7jim7M_maDoxqvdCSCyd3OM5OiWC31jXG1yJuWDUVbWPIrgYo8uuOkwDzKSCaYVNAZy5aRZUTxrS2npzXo6-VRr4UiLBew3pEmdnJBhTd7GMQJSb4ceaY6sg9JUeZtmnEGsRx0FAtUhUfgoMgXAw0L8iNIEpqWPL13aXsDv6oqGbMY60mHa2kIxJSAdWRwt5S89n6fqvWkEerLiYkTxBfrYqRWXSY_CSbo6gW-9mw-ypRqM-nDbo0WlhoZB9GS4Xpp-5vJ3IG,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Marks & Spencer,3.7,Data Science Graduate Programme 2023,"London, England",Company - Public (MAKSY),"Department, Clothing & Shoe Stores","Want to build yourself a legacy you’ll always be proud of? Our most innovative grad scheme yet is your chance to do just that. Intentionally designed to help you shape the fast-moving world of retail, it’s a masterclass in technical training, structured mentorship, and 360-feedback. Spanning 18-24 months, you’ll rotate around our business up to four times – each time earning, learning and experiencing it all. It’s all about giving you exposure to a variety of projects and the talented people driving them – so you come to realise that there’s infinite ways to the top at M&S. If you’re ready to become an M&S Legend of Tomorrow, it’s time to begin.
Take your place in our Data Science teams and you’ll find everything you need to begin shaping the world of retail – your way. From access to in-house development programmes to external Decoded Data Science courses that’ll help you become an expert in your field, this is a springboard on to big things.
Our teams apply data science across the whole business – from solving customer problems like offer personalisation and online recommendation, to enterprise challenges like buying optimisation, sales forecasting, and labour planning. We use a wide variety of the core data science techniques and more to deliver millions of pounds in extra profit to the business every year. Want to be a part of some of the most innovative teams in British retail?
Become an M&S Legend of Tomorrow. Apply today.
Read MoreShow more ",www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&cs=1_6e1fc838&cb=1669291331372&jobListingId=1008174979453&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-d8e4496afa53916f-,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Lorien,4.4,Lead Data Scientist,"London, England",Company - Private,HR Consulting,"Permanent
 Up to £105k + bonus and benefits
 Hybrid working 
Educated to a Master's/Ph.D level in Science/ Computer Science/ AI / engineering or any related background 
Strong development track record with Python and Agile development practices. 
Experience of systematically organising and migrating analytic or machine learning systems. 
Understanding of statistics and statistical methods (i.e.. Bayes). 
Team management and leadership (3-4 people). 
You are comfortable working in a Python data science tech stack, for example pandas, ggplot. Matplotlib, SciKit Learn. You also have experience accessing and combing data from multiple sources and building data pipelines, including a good knowledge of SQL. 
Cloud Experience (AWS, GCP, Azure) 
TensorFlow, Spark (or relevant cloud equivalent, or proprietary database experience - e.g., Snowflake 
Strong statistical skills",www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dac319e4&cb=1669291331372&jobListingId=1008283033966&cpc=3DB599BF2F4828F0&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-f07dddf1e6d894e2--6NYlbfkN0CSQNYCQT7nHq8P0wNJS_USmk1iEIfTbn18KnDTRcZj2faaZgZp2LJJ7MtLl51rFDGAReBxv1u5mwHKkrFsq1LmXcvf1SjhKfWj_LNtNJeGYjWMA8uedYks8JHGOv1Tjj5zMiOrUaBEHjVbDAOQON98hp7ub3bwbvwAlVMol8qhwikt7g1UP7EtJGUMZP0U7n1dzvwLdKUR8Iv7l7JMmDgSmMcl7Q_dPdEWNCNO95JnbsrOA1ssu_V4u3Xulti6imeERHTY3rTaVdnJPeonxqeCFW_LbIr0zIXw74tmmXi-jkN5qVfs0B149TOYHNLUaZO_BIkUWziJK9yWwmhj31PWntMIxuzYfC9wpeSowtjPI4Td5Rhad5kNs514cbUPRXqzLH4r1tM_PT4--7YRJNiOGV6ntNkK0d7IK6iX9rftcRqYoftn_TuiYoTdWJxyTpCSPRrUho5volm_auTQ1-Xmm4N5jBJdxp56muqRSL8-OMXPQrSH0sGhoQ3plvPKuE0G_ILgNsL9Je5jMIFrGjA44Hc5H9LKygpkS5I7TkJE8ubOTluKgTKrm4SpznwUp4-shz8kuWz39qwVIyRaxgJ5VVbHbjrd8fFR6v4loiEQn43tesUIca69yQ8HhJ7KXKdmM31zZQyowcvn6MrcAMAYbQ5hrV7XzQzagkGY5aNjflF2A5T7WHtX,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Metrica Recruitment,NA,Data Scientist,"London, England",Company - Private,Business Consulting,"Developing innovative machine learning algorithms for time series analysis Analysing algorithm performance bottlenecks and proposing solutions for improvements and optimization Preparing new algorithms for deployment and supporting deployment to production BSc, MSc, or PhD degree in computer science, physics, maths or similar Strong mathematical background in machine learning and deep learning Professional work experience in machine learning Understand the principles of computer science algorithms and data structures Solid understanding of anomaly detection and signal processing Excellent coding skills in Python Practical knowledge of ML and DL frameworks",www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1110586&s=58&guid=00000184a9844dda850b132a5ce14368&src=GD_JOB_AD&t=SR&vt=w&cs=1_60060960&cb=1669291331371&jobListingId=1007262582155&cpc=F4EED0218A761C36&jrtk=3-0-1giko8jg3ii20801-1giko8jglgfoi800-62513607309e2768--6NYlbfkN0B4I0z8Vg4C22bXJk453pUE2nnLCUOyY_R-ihB16RDW65dAXO9w17QY8SOm2HP94Hp2jbUkoHG5Kmt9kZomU0MXvetkbDHxtnXR15AA8SiV-XcWNkdnL4Gb53f2y02bVOt1jFTnNoUfCiREQ3qShf9pJbnnXvi6ivCGgnoFaBMyHzk0PHtJcq6qPY9LtWdKrKJ8OZ04qlJ7_8yEXuXd665beKphZzhwQp9-11lrxQVzfutrmLOHyeCuMBKrp8vCrPLeCmLcc6XihLgdq6WFarMgNjN0Yw6QnGnruadZOrA-5isWPgHeAIQs4IcI03E-s4vY_Ay9mbLyDwC9cAv8pyWO7UBU_qE6ewoOOL03F3_xvXvcF21spBazlbiNMtuGV_6mHTpz2onQcv40pruRfHujAVNI01LU3dewHk1j1HQ6UL6pfjyKvsIDkQ97ba5B-ruOFEkHIMD7NzYDXezBzsxXwrcfDz9UqtP-LCt0MzPAsaOYTOftTVTpj4pwnuO7dedyYmb74Me_WMXjh6EPeIELDI5-3O3C2ZLPxCGaNuHZ8yVXFvDEj2zyYbwE4YZnh80ISEnokYCpLHlc1jRU4IHKFbUgQsxXNqQ%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
