company_name,company_star_rating,role_title,role_location,industry,company_type,listing_desc,listing_url,page_url,page_num
Environment Agency,4.0,National Lead for Data Science and Analytics,England,Government,State & Regional Agencies,England: reliably commute or plan to relocate before starting work (required) Master's (preferred),www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e738c52a&cb=1669286203926&jobListingId=1008296222159&cpc=3164FDD6030E246B&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-695dcda7b772a1e2--6NYlbfkN0Dsrb-ySuU92ebKpgx-j3ip77wf_iTWOWjX3o4GFc_nBmwxRhN48iBLTW41pw8oMHuAqvwWipho7TUPWa-kCbOnLjibl9tDvusondSP_ctFnB3UxUuKKs1Z9MKhAgy9Pk3D1lxTRLk1r8xssi-nE3cwK6YSlQ6I3WMeSoPyHZHE8Ci00JV8vwzqFRFQCOV66_MyqC-HtWRJDmuCE4i7c3n7RzIhlgqa0TgFULC64_WCnTx5Kwh9EmKyS210L88lS5oF1uD3YKB1wnV03kF-XM46V7tiijK0aEzLz2FzV0umlgcpO5ieDWXWEPXQ7s6BXsEqH4St2-FwoSBhthCQTdr3DYGR3OETytGy-AirhqoffN-SMO3g-o7MpKGmNx5apiNMeYycZCYtiHy2eZ7JyN_GXZOk4nKaI52mWiDEjIDn8smI1q0X41A7u9KOu-10KNVQqXcs-ZtWvirnd-q6i-KQU5voBrVVrLswBwgn6drrrOjDJANRsj7zqRgB8G6L3z064F-lltpisCpDPDoSRHLxLnSvjmqqR9c%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
PrimaryBid,3.5,Senior Data Scientist,"London, England",Company - Private,NA,"
Building, testing, and productionalising scalable Data Science and Machine Learning solutions across the business 
Partnering with Product Management to gather stakeholder requirements and turn them into value-driven roadmaps for DS 
Acting as a thought leader within the business on data-driven decision making, including customer segmentation, marketing/product optimisation, and machine learning 
Adopting agile practices to delivery - developing MVPs, frequently soliciting input from stakeholders, sharing progress, and ensuring that end solutions are fit-for-purpose and drive change 
Acting as an experienced member of the Data Science team, helping to influence and develop the capabilities and outputs of the team

 
A strong understanding of Data Science and statistical techniques, their applications in segmentation, experimentation, optimisation, and predictive modelling 
Advanced Python or R (ideally both) 
Strong SQL skills, as well as experience working very closely with a data engineering team, understanding their role and best practices 
The ability to turn insights into compelling stories for stakeholders to understand, for them to make more effective, data-led decisions 
Strong interpersonal and communication skills

 
Experience with modern cloud-based data architecture, including dbt, Looker, or GCP 
Experience in a start-up or fast-growth environment

 
~10% of your time partnering with business stakeholders, understanding new requirements, or presenting findings from existing work 
~70% of your time developing data science solutions for the business, working in close collaboration with our Principal Data Scientist 
~10% of your time working with other areas of the data team, including BI, Analytics, and Engineering 
~10% of your time in planning and firm-building sessions  
Play a key role in the expansion of a highly-funded FinTech 
Significant potential to progress your role as we are expanding rapidly 
An empowering, team-oriented, ego free environment 
Flexible hours and remote working options 
A bunch of wellbeing initiatives that will be accessible to all new joiners from Day 1 
Opportunity to contribute to employee networks- PB Women group - Talent Innovation Committee 
Competitive salary 
25 days annual leave plus your birthday off (as long as you bring cake!) 
Private BUPA Healthcare & access to Calm for mental health support 
Cycle to work scheme 
Premium IT Kit 
Unique office space in the heart of Victoria, London 
Equity options for all employees",www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e306820e&cb=1669286203928&jobListingId=1008292041298&cpc=FA84DF7EA1EC2398&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-bb600d4d30ce4537--6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrYiGf0WKIadx8Wo8_zzSZMaFwo0_KvsN1l4KS2q8BSfPTxhiLQJzzrY7LNO9OKCyMU5eLVCqo0AWS8ovg8HmmRtpi6LV1hoMqW9b04CVVIAfnmBJufNrioUoRtVa6YFLkWrkTdDy-ntnkiQbY6ADfzUrSXp36ApMQsHEW4efwu-l-AGR-k9GYwLXBtpYouRK9__kmPXF5HlPu5KugrkVfdlAdKNdAWLPyF99HLod6Ln6F-D38iSYfquhg9z3oZUeg4wlnhbk6gIhFfVAN2WKETC5Nri0_NCCYpxesv3vtYPcJOMlW4cunI6oC0hbXNA4zxwYDAchrs1dUy4M3nSq_K7O9qHkBWq19jhDFk_wwRW6q_ny-pjPEjjDpSh5CnFBklYa1bN5vTpvR6TeNZKbNPsqJdCHbIxbjSAznj9yYoFE5DLqkjEita5OZbWMg0Mjs9f2wjpkaqGigyq8EsnSV_U1_uNdpJc_etWhfP9_L66maEJ6zVIhbf0zxyliGhqAVy0TTmYqU11wI_IxAtwB9q1ut2URoSF-WbJEdckvzTTABkJXNaU1aVOu7_VwSfN8p5smu9QCZ27ngTbU59vwmyslmnj4NVlWuZziC7aSrM6r4wTVod9IT9WtrCtDfxKWrHC6wZU99r5cdX1oe-gJ0VupFYvLMOesQRDYqvDtQ8SOe1JSAZ_XX6ebzWD_LMEvD8PAHIW9E8S3nF47bQY2BoxSwThVDvmGP2Cofk68_zlb7N18KbKVmUJ1Co7BET3uvZ2ZN6rU0-dP7KPdUMX3_JtFbjhxOPXULtIf3yjnyGu489UOC0d4fAaLh8ZJ9cscBEluTJKEP0y5uhFOlLBoTyLQte15AZx3GURJpqU_IAz_9rw1YKawPzxtSRdcpwl77QSRLIICNuKCS0yUumSbuaU1AF4PjlINb_AIgdU5zLYH8dkG-TCc0PXFc8MSWU65NLgGu2copo4riyjMqF6kJmUPIIfBfXCY-naNxQO0uF6aygbaeYhbAR4ebir2hU-KiJ64QJEbCZ0sthRJeIrctg8%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Barclays,4.1,Senior Data Scientist,"London, England",Company - Private,HR Consulting,"Designing and developing modelling approaches appropriate to data sources, technology stacks, and end-users’ needs Spurring engagement with business areas, coordinating multifunctional project teams to deliver data science solutions that create transformative commercial value at pace and in control Ensuring project teams you lead deliver machine learning models into production, working collaboratively with colleagues across the organisation to remove impediments to progress Adhering to professional software development standards to ensure robust, repeatable analytical applications in line with legal requirements, internal policies, and risk management frameworks Reviewing the code of colleagues to ensure it is efficiently written and appropriately documented Promoting and presenting your work to senior stakeholders across Barclays UK Keeping tabs on the latest developments in data science, devising ways to foster these within the bank Proficiency in Python developing statistical and machine learning models Experience delivering complex data science projects in a business context Energy and enthusiasm to inspire followership and to work effectively in a low ego environment Clear passion for making financial services more customer-centric by using data science ethically Prior people management experience, with tried and true approaches for mentoring junior staff Understanding of the financial sector, to recognise and drive forward opportunities where data science can transform the bank Skilled at influencing and communicating to various stakeholders up to executive level Specialism in one or more of the following: reinforcement learning, deep learning, natural language processing, agent-based modelling, image recognition Company pension Sick pay Work from home 8 hour shift No weekends",www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&cs=1_b4f2a331&cb=1669286203926&jobListingId=1008235549805&cpc=B101C867B3EF2D75&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-dde4d6039dc21e44--6NYlbfkN0AQUtcTIZ-i7aKYOUYzDqGef5ngEm3dQ48Spiht6MSGoHRNFjK7EHsDrHnrfrnRKm5v4G5fRrjFubeTUInOHMht9asC5MXoqKeXHbq1U3-jbcOWcxyAODDaYeOmIMSyBkpqFcJKPg398-gIsz1emd7t6SCUtU42dALKmILM2PJ7Va99Z3AQL1vuKAtnE5PjhoFNbpEY_luORTtixIy7CfePRv1_zVZP_Ccc9a3bdgNGvrfe4IZrgrpT6r1C5GxAsUscxQJ36lcpvT4-7MM2FriP3J-5q4TR2Q688zrOgL0aXneCO33HC0w5_0JxHiewWsBEyS5Grky2HKvavor28EgxLIumZdssxAGawBhAcutREArPcbJJK_pU7jM2v2JRfQ7CmL4rCY85kwv62wyrU60ipQK3R1zWcdM-BQJ0tExa5WGsNVfYT717ef79qe-rvXhW6PK2kK6_MlSp-KlCzuX7BIPOzdcO7LZQI2yG95h-2RWacCPD-51jsZtdZ8o_9vLL2Y-t4p-PYQN91LQ6tOYfEtXvDAjtIoQhoC3MMMCmP5iw9P-tkv2BwbYQ_I-eXoT_7gGaf2RQhZtI3KBLYY8gfGc-uA16WgLarejJI7cM8F14LmC1EQMvk1ZceIc9ndpLarxFp28iblqQojqbV_zULoVtc-tL19AYfzzmEpmzCT7yvti88vQR328Y8zmkItKSzXA6RgEECvvow7D_8njGKH3uwh2TDOOEiXT4WtH1DYeLyFlUsqfvekivwBrUbgytb8mA7YY5xl6HT81ewNLmNUagbYUk14yj9PF9NIg9RHvxuOB29vNLRpiTLmRxz0bvq0oOgyAzNQ%3D%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Rolls-Royce,4.0,Data Scientist,"Derby, England",Company - Public (RYCEY),Aerospace & Defense,"
Working with Engineers and Operations to solve problems and optimise processes related to the design and manufacture of our products 
Working closely with a range of subject matter experts, across a diverse range of fields to understand requirements and elicit domain knowledge. 
Applying a range of statistical and machine learning methods for inference, optimisation and prediction 
Communicate your results and methods through reports, presentations or interactive applications. 
Helping to inform “digital strategy” identifying areas for improvement that can be fed back into our wider teams of software development and data engineering to improve our data collection, quality and organisation. 
You will have a numerical background, with degree level education in a subject with strong mathematical or statistical focus. Industrial experience is desirable, though we encourage applications from all backgrounds, including graduates. 
Strong experience in R and/or Python and the associated data science stacks. Implementing methods with an appreciation of software development best practices. Such as working with version control (git), constructing tests and writing documentation. 
You have a delivery driven approach to solving data science problems, opting for the most appropriate solution to addressing the business problem in the required time frame. You will work methodically through modelling workflows to refine as appropriate model complexity. You will place strong emphasis on model interpretability, incorporation of domain expertise and uncertainty quantification. Experience with Bayesian Methods and Probabilistic programming (stan, pymc, etc) is desirable. 
Ideally have experience of operating within the agile framework and the associated tools 
Desirable - experience with developing interactive applications for serving analysis. Either through tools like PowerBI/Tableau or more advanced interfaces such as Shiny, Plotly, etc",www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&cs=1_d148e9d5&cb=1669286203929&jobListingId=1008266179716&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-c9d504bfea7ccb1d-,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Corriculo,4.5,"Data Scientist, Forecasting Analyst, Python, R, Finance, Remote, 4658","London, England",Company - Private,Information Technology Support Services,"
Prior commercial experience as a Data Scientist or Forecasting Analyst 
An understanding of macroeconomic data 
Sound Python or R coding skills 
An understanding of Machine learning algorithms and techniques such as clustering, Regression & classification 
Excellent written and verbal communication skills with a strong report writing skills",www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_361f90cb&cb=1669286203929&jobListingId=1008292031458&cpc=9908D8D4413DBB8A&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-4fc0432b7aef6286--6NYlbfkN0B7rKJkvkRZrQtOvsob64W6XZwJwuM01aqiMgQ7uTfhgGprKeOVBVbGYghEH0mqLogd4JSpxLWAM3kODa9yePAIZjX9-OJjK_wtBpP8Fc6khmAnqzvIHZwstIBGdSDBvr8rLn5N668OR1je4oKxF3KwT8Oi25NPBvn4q0Y0lU_DGhpAuiK8ssv6eNYYvP0Ceazew6ghBMwz2QIaOaViMD7Mn5x8BYmutK4tU_fTqp1RnqhwW1rrSN_TzqStAD9fRrLA_wavJtyNSvqjTrE00Z8UCzZraJ7PN17hgc8pGrD3TRHmVc_mgKbFF2FU1PieZ2MsaVejsfeGgGOt8EYEr6oLKJuZi2jkKZ5oWOImgpsftS0y5x2X-0bttw6ymef0pCuOvQ6iggzgLVBB1qAooeM-AXsFDWwARpUlf89vJuuNgMklA1xbmzsvwFTYLtjXXWnQnqNptag1sp7S6-7o7KiVscbaYIEfs4QhVUlR1Zl4SIcHqbQl5rCC,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Information Tech Consultants,3.7,Junior Data Scientist,"London, England",Company - Private,Information Technology Support Services,8 hour shift London: reliably commute or plan to relocate before starting work (required) Bachelor's (required) United Kingdom (preferred),www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_77318835&cb=1669286203926&jobListingId=1008284976749&cpc=2CAED5C921A5F994&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-b8e2f170bd87c453--6NYlbfkN0AraZfUMCdnJNjJsWHy6D3Ra_0D6GRfEkfGXZiKyoRK-WBizAR3OwS5y8O3E43ekgqDjJWg5_TFgqlXJIT-HhLLnf3-oCzmqAp66KuBe5Hqd0twKryEVBI7xOsic6Y1UcCfanDQlrZpRNlfgCRT4QoNSXXGR2R2s2bquyTQJyPrbtrhVcXca8lJvz21GM7gHKmk2vr_kWN_SsUxxAnGWbngEUkCsFg9Tb8WK2gAoTGwQeyb4HEb36mp24G_4p7iu1FRXK0CoTW8DXfjEqCahE5aVVtB85cggn2hR3TkpHHHiedlO7qFPSGSo3lhHkcGmCft5WvKt4kFtaytCFGljYtx9NM1qbpIhyOHVy-Rka3TvVB4544L1_PM-OO4olO11GmqVo-gAlNKjTNgvfaO95d4hOPT4XR2VGTkLzr93_qUghrXpftzYAW3iSV2_cFDzuYap0SZI6hDLmMg3xzHAxg_dod8w47hL461-QeS4J6IqVI9PW1jhxDnU6EWkxPltn1qJyRHkWG6qg%3D%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Pythia Sports,3.0,Data Scientist - Cricket,"London, England",Company - Private,NA,"Have a deep understanding of the data, its limitations and meaning, including the investigation of data validity Uncover trends in multiple sports datasets Build and maintain data-driven predictive models Research and apply novel modelling techniques Build and maintain model validation metrics to regularly track performance Have awareness of the limitations of any model output Have an understanding of statistical robustness and validity. Experience applying advanced statistics and modelling techniques to cricket data is essential PhD or equivalent industry experience in a quantitative field Strong programming skills, with a preference for (but not limited to) Matlab, Python and R A track record of using data to solve complex problems Experience working with cloud computing (desirable). Right to work in the UK Additional leave Casual dress Company events Company pension Cycle to work scheme Private dental insurance Private medical insurance Referral programme Sick pay Wellness programmes Monday to Friday Bonus scheme Please briefly describe your experience working with Cricket data. Master's (preferred) United Kingdom (preferred)",www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7e058cae&cb=1669286203927&jobListingId=1007562748911&cpc=FA84DF7EA1EC2398&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-9a36d2355241924b--6NYlbfkN0DPD0bt9JAdjOubXaOlasaA9cSAf68lccJAaPUaYP7D2edPLsDx0ar8XThu-7o1QUdMe1KZi_dg81JEou5LKPb33iSLV4MRRGZ4aO84UifyWCAIOU5Kfwknh0RzxoVcVfqSC0eQ2liYGG6k0wHFJ1XQhI8ZqBcTB3VuEjpbNsWtjMLaA4CmRMgOz3BMy_TtU6AlUXfvZT3VkD6TKOgHyZJX44Mu3QzJzSXHWaWeKHuGi-iFyG3GlJFL3m1I4ubDPmE1hcNobmp_wZnsWs-cET3YSOT7ybwO9O_kojKGvfguMCH4lMKg6JfzGQJUC5Ge02j74i0xZ6PVPC_vUEXgfUMunDftqResQoIiDoJ13-pp3E9p6iLYcjPEZcCGHqYy4z-nj_NzFsO9Nqsp7S_P0AjhpwRF8Duk9fiS8IXBY8npGxHa37p94qFd5t4KgA8oV1BZBAsUHJbVDBctkF5eRQOqQecTwGWZ6Mnr_j9ciQx5EkBdiwPJhI7BMKrtjla6N887mc3VwSpkvA%3D%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Franklin Bates Limited,4.7,Junior Data Scientist,"London, England",Company - Private,Information Technology Support Services,"Python Pandas NumPy 8+ months commercial experience Passion, drive, team player A degree in a quantitative field Experience of working in a financial field Equity options Private healthcare insurance Gym membership Bonus Casual dress Company events Company pension Private medical insurance Profit sharing Sick pay Work from home Monday to Friday Bonus scheme London, W1T 3JH: reliably commute or plan to relocate before starting work (required) Do you have 8+ months of commercial experience with Python, NumPy and Pandas? Bachelor's (required)",www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_390d7454&cb=1669286203927&jobListingId=1008280212263&cpc=9908D8D4413DBB8A&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-7b027f24addebe30--6NYlbfkN0DgXMGIFt12M9Qsgho7yXKswtEHX54pkhFe0ve4TM42QBZyy2srzgGtKzgdQsUlZa6L2WyHP4G4MG8j3YgM7dKmbMNz_D9cMq-O5PrTjynah485gVhx8pJaSNXuIVzyvOn1txOJ4BXbvNMWC8zWcB70rNSaNSquW1NxpW7c36jbgLMGyKij9lHTxSLC5IbHLVKgaiJWYO1DhlSHXc8O0JJYCKOotDu6IHmAeGrxPCmQUeT_U86bug8blLj6rcsQK7pTakkJHI3zRY0dQvpSygyir1_pl5vYKfhl23oaJRO2u3BK38NxdIS5Qj5HPtVbWx1njMoj0jqmpedu2M09X7SEejq1d1nTKXqpP5lFFhPcuGRxSND8SPbIyY6oEgxy6eY5LqYBNwf1MsbCeFTJSJfn8izgxqvWM3p4mKOPh5JysHcMcH6J3W4L8537DiFDPHiKb4RgwBuvYuWsUh-ixW8kIsUV2kW_r4qKOkxtJ2Z9Kk6bj6p34BodvOFLynVubDhsJHGkVIAxKA%3D%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Databuzz Ltd,NA,Economist - Data Scientist - Remote,England,NA,NA,"
Experience in using statistical programming languages / packages (in particular Python - knowledge of R and/or Stata would be desirable) 
Experience of working with large datasets and data wrangling 
Experience in using GIS packages / working with geographic data 
Knowledge of web scraping / working with APIs 
Knowledge of SQL databases 
Experience of delivering high quality technical work using tools such as R and Python to handle datasets, perform analysis, and visualise results. 
Experience of developing the quantitative capabilities of the team and the firm. 
Bachelors in a quantitative subject (Mathematics, Computer Science, Statistics or Economics, financial economics, econometrics, statistics) and experience working in a data scientist role 
Experience of quantitative economic analysis 
Solid knowledge of econometric models used for forecasting variables 
Experience of applying relevant core micro theory and empirical techniques (for example econometrics, optimisation, GIS analysis, agent-based models, and machine learning techniques) across a range of projects 
Experience of identifying key results from analysis (that will prove or disprove key hypotheses). 
Experience of developing the quantitative capabilities of the team and the firm. 
Experience of energy market or energy related projects. 
Postgraduate degree in a quantitative discipline is preferred but not essential",www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_749d2285&cb=1669286203928&jobListingId=1008300479543&cpc=F41FEAB56D215062&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-09625100e394f53c--6NYlbfkN0BqrfxFWYYLFxFGTsPfLVJj0U7TZTTKyiYTnYDmFwKAgEA04pw-VdPnw2M_DCobCIPaxLxxQm7Kn-RkrXg0Ti9v49orwus6MD2TzROaIFeZtVHO_Rtl2NFANycGGnTjwi8xdv4aebOqyCAcQ6wVxsQpfxGa6GdDj5_Mf0LxeZufXBXy3GHqhKyv7vhQ3FUwZo1MtAUm_vTogTUzXXIQ4bXn6jnwo9wMVStruWIUiGFyZe2SfceAx0g1Vj4rjXtzYfPTMuAeyk9XLPFR7rJRZ7hQ9SHoLJnnzuDcEs09b7Er8hH6x_oqEF1Pd8OfvD8aDvYxC3BMm2jFbYqMy8hSgYYWYPqSEEziN_eHF0GYbbVLGFf-NemLIx2Csz5mstYIYA4CTf5Ko4d0x3Guw7xjkmCkqWa6fW2g-Vm9CkVJaJMAGLRY4s1P9kTNEtmjDjAPOBWkB1wEBUCmM1swZ8elTz0CSPS69HPaDvA69TskT4falW44YIlLt2sid6a3A-9WQ3IqMr4d8B6AIL35ypSWGNyc71uCUJ2P99n2JV8MmHSNuxgTVOKIN0Sl,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
Met Office,4.2,Scientist - Marine Data Assimilation,"Exeter, England",Government,Business Consulting,"Outstanding Civil Service Pension Flexible hours and homeworking Annual Leave starting at 27.5 days (plus Bank Holidays) rising to 32.5 days (plus Bank Holidays) after 5 years and option to buy or sell up to 5 days per year of annual leave Cycle to work scheme for the purchase of a bicycle and equipment for healthy, low carbon travel Access to discounted shopping on a range of retail, leisure and lifestyle categories 
We're a force for good - focusing on our environmental and social impact 
We're experts by nature - always learning and developing to do things better 
We live and breathe it - putting our purpose at the heart of decision-making 
We're better together - understanding partnerships and inclusivity make us greater 
We keep evolving - pushing boundaries to make tomorrow better for our customers 
Develop, run and test our marine data assimilation systems used to produce operational forecasts and reanalysis, with a focus on the shelf-seas around the UK. 
Analyse the impact of data assimilation and observing system developments on model performance. 
Communicate developments and their impact to a range of audiences through written reports and papers as well as oral presentations at internal and external meetings. 
Implement developments to our data assimilation software, working with partners at ECMWF, CERFACS and INRIA who collaborate on the ocean data assimilation code. 
Support the operational implementation of developments and help deal with issues arising in the operational forecasts. 
Keep up to date with developments in data assimilation, ocean modelling, observations and other relevant scientific areas. 
A degree in a relevant scientific subject with significant mathematical content and a PhD or equivalent research experience in ocean science, data assimilation or a closely related area. 
Interest in the physical marine environment. 
Good understanding of numerical modelling and scientific validation of results, supporting the Met Office's core value 'Experts by Nature'. Including experience in using and validating numerical models and/or data assimilation systems. 
Strong scientific computing skills (e.g. experience with Matlab, Python, Fortran, C++). Demonstrated experience of writing and modifying complex code and producing high quality analyses using appropriate quality assurance tools and processes. 
Evidence of good communication skills (written, oral, presentation and listening) with ability to communicate scientific and technical information to a range of audiences 
Evidence of being a strong team player with an ability to support and interact with technical specialists, supporting the Met Office's core value 'We're Better Together'. 
Proven ability to develop data assimilation schemes and/or ocean models.",www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000184a9361077bc1bd27587f63db5&src=GD_JOB_AD&t=SR&vt=w&cs=1_3cd11271&cb=1669286203926&jobListingId=1008265089352&cpc=6193B0C32834B022&jrtk=3-0-1gikjc452haq3801-1gikjc45gi9iq800-145deae3f906bae9--6NYlbfkN0D5t9EoHVnBtbfgPpbFRxiw_X0g4QCZQqgC3RlclTZQLL0DujHpvL99gDvRRA3K-slTPh_hjHRH3X9-DOInV_JEoFF_jgSuo0iLU3I7XKNY3TMSeyuRiNbJY0qtOMTxU8t4zLllQcQOvk9YAhw18lopZCd_OhnsEaZa-25hd3aWkgFIJqLR_1bv5fCqT3I03j_BkdsKwkNnOBnhWutVjwEVeRoFuB9PNKUqjiIL2anI-PQvnF20T3WCeNuFDh5nfg5w2Ao6sOxAABGFMPId6VSq4tbqo0GywTFceMP5Mpsl3ojwgmiFFxJrKRuUw3di1L0hr3JWv_tQNSdniqTJt-9q_Esw-6-8Gjw3Fpm9N89DO_Ot4BnyQY0lOJb48Vr4NHkPsJix6R1tLq0-_r-IAf49jkgTnw3ObNHR9rw_JC01f6CU-HQuVpmRbUBzK6j-ckgzOPSD2b8LrehADOKhGpDsybqTzgZ_Mm1Gq_fB0nXVd9byFT-RisKEfIt6G1nxnA3zo2qys5mIOnx8TMI31ZQW8KkxCIpt3fpOhz-u6xuVQTm_9xTPSjXFH8RZlXHvQb4%3D,"https://www.glassdoor.com/Job/united-kingdom-data-scientist-jobs-SRCH_IL.0,14_IN2_KO15,29_IP1.htm",1
